Codigo_Accidente,Formulario,Direccion,Fecha_Acc,Dia_Semana_Acc,Hora_Acc,Min_Acc,Localidad,Clase_Acc,Elemento_Choque,Tipo_Objeto_Fijo,Gravedad_Indicador_Tradicional,Gravedad_indicador_30d,
10591307,A001568620,AV AVENIDA CIUDAD DE CALI - CL 63  02,2023-05-23,Martes,22,17,ENGATIVA,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10591309,A001570892,CL 75 - KR 70  02,2023-05-20,Sábado,7,20,ENGATIVA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10591311,A001570834,AV AVENIDA BOYACA - CL 71 A 02,2023-05-22,Lunes,7,0,ENGATIVA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10591319,A001570292,KR 78 B - CL 38 B S 02,2023-05-18,Jueves,18,52,KENNEDY,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10591324,A001570876,KR 92 - CL 69 A S 02,2023-05-17,Miércoles,18,50,BOSA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10591331,A001569995,KR 30 - CL 75  02,2023-05-23,Martes,18,15,TEUSAQUILLO,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10591336,A001567370,CL 80 - KR 114  02,2023-05-22,Lunes,14,25,ENGATIVA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10591337,A001570885,KR 89 - CL 54 C S 02,2023-05-18,Jueves,6,18,BOSA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10591344,A001570896,KR 60 - CL 63  02,2023-05-19,Viernes,17,40,BARRIOS UNIDOS,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10591349,A001569146,KR 86 - CL 72  02,2023-05-16,Martes,6,10,ENGATIVA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10591350,A001570355,CL 17 - KR 107 A 02,2023-05-15,Lunes,19,17,FONTIBON,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10591578,A001571192,AV AVENIDA BOYACA - CL 3 A 02,2023-05-27,Sábado,5,30,KENNEDY,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10591585,A001568363,KR 51 - CL 58 A S 02,2023-05-23,Martes,7,20,CIUDAD BOLIVAR,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10591587,A001570783,KR 54 - CL 159  02,2023-05-19,Viernes,7,0,SUBA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10591588,A001570554,KR 82 - CL 23 D 02,2023-03-25,Sábado,14,50,FONTIBON,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10591591,A001569738,CL 59 S- KR 78 B 02,2023-05-27,Sábado,6,15,BOSA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10591592,A001571094,KR 70 - CL 64 A 02,2023-05-24,Miércoles,18,45,ENGATIVA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10591595,A001571237,CL 6 A - KR 90  02,2023-05-27,Sábado,21,36,KENNEDY,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10592085,A001570623,CL 106 - KR 19  02,2023-06-06,Martes,23,26,USAQUEN,Choque,Vehículo,Desconocido,Solo Daños,Solo Daños,
10591429,A001570408,KR 19 - CL 73 S 02,2023-05-19,Viernes,21,0,CIUDAD BOLIVAR,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10591430,A001570702,CL 43 S- KR 78 L 02,2023-05-20,Sábado,8,24,KENNEDY,Caida de ocupante,Desconocido,Desconocido,Con Heridos,Con Heridos,
10591431,A001570935,CL 56 A S- KR 24  02,2023-05-20,Sábado,15,11,TUNJUELITO,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10591432,A001570805,KR 97 F - CL 38 C S 02,2023-05-21,Domingo,23,30,KENNEDY,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10591437,A001570984,AU SUR - KR 73  02,2023-05-23,Martes,19,50,BOSA,Caida de ocupante,Desconocido,Desconocido,Con Heridos,Con Heridos,
10591439,A001570410,KR 15 E- CL 71 A S 02,2023-05-20,Sábado,7,19,SAN CRISTOBAL,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10591440,A001570456,KR 80 - CL 70 BIS S 02,2023-05-19,Viernes,23,25,BOSA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10591444,A001570813,KR 86 - CL 15 A 02,2023-05-20,Sábado,1,0,KENNEDY,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10591452,A001570835,DG 48 Y S- TV 5 U 02,2023-05-25,Jueves,4,5,RAFAEL URIBE URIBE,Choque,Vehículo,Desconocido,Solo Daños,Solo Daños,
